# frame vad | vadreg pitch tone complex_high complex_low stat burst hang | bckr_est[9]
109 0 | 0 0 32767 0 0 20 0 0 | 50 40 40 40 40 40 40 40 40
110 0 | 0 0 32767 0 0 20 0 0 | 52 40 40 40 40 40 40 40 40
111 0 | 0 0 32767 0 0 20 0 0 | 54 40 40 40 40 40 40 40 40
112 0 | 0 0 32767 0 0 20 0 0 | 50 40 40 40 40 40 40 40 40
113 0 | 0 0 32767 0 0 20 0 0 | 46 40 40 40 40 40 40 40 40
114 0 | 0 0 32767 0 0 20 0 0 | 48 40 40 40 42 40 40 40 40
115 0 | 0 0 32767 0 0 20 0 0 | 45 40 40 40 40 40 40 40 40
116 0 | 0 0 32767 0 0 20 0 0 | 42 40 40 40 42 40 40 40 40
117 0 | 0 0 32767 0 0 20 0 0 | 44 40 40 40 40 40 40 40 40
118 0 | 0 0 32767 0 0 20 0 0 | 47 40 40 40 40 40 40 40 40
119 0 | 0 0 32767 0 0 20 0 0 | 45 40 40 40 42 40 40 40 40
120 1 | 16384 0 32767 0 0 20 1 0 | 43 40 40 40 40 40 40 40 40
121 1 | 24576 0 32767 0 0 20 2 0 | 43 40 40 40 40 40 40 40 40
122 1 | 28672 16384 32767 0 0 20 3 0 | 43 40 40 40 40 40 40 40 40
123 1 | 30720 24576 32767 0 0 20 4 0 | 43 40 40 40 40 40 40 40 40
124 1 | 31744 28672 32767 0 16384 20 5 4 | 43 40 40 40 40 40 40 40 40
125 1 | 32256 30720 32767 0 24576 20 6 4 | 43 40 40 40 40 40 40 40 40
126 1 | 32512 31744 32767 0 28672 20 7 4 | 43 40 40 40 40 40 40 40 40
127 1 | 32640 32256 32767 0 30720 20 8 4 | 43 40 40 40 40 40 40 40 40
128 1 | 32704 16128 32767 0 31744 20 9 4 | 43 40 40 40 40 40 40 40 40
129 1 | 32736 8064 32767 16384 32256 20 10 4 | 43 40 40 40 40 40 40 40 40
130 1 | 32752 4032 32767 24576 32512 20 11 4 | 43 40 40 40 40 40 40 40 40
131 1 | 32760 2016 32767 12288 32640 20 12 4 | 43 40 40 40 40 40 40 40 40
132 1 | 32764 1008 32767 6144 32704 20 13 4 | 43 40 40 40 40 40 40 40 40
133 1 | 32766 504 32767 3072 16352 20 14 4 | 43 40 40 40 40 40 40 40 40
134 1 | 32767 16636 32767 1536 8176 20 15 4 | 43 40 40 40 40 40 40 40 40
135 1 | 32767 24702 32767 768 4088 20 16 4 | 43 40 40 40 40 40 40 40 40
136 1 | 32767 28735 32767 384 2044 20 17 4 | 43 40 40 40 40 40 40 40 40
137 1 | 32767 30751 32767 192 1022 20 18 4 | 43 40 40 40 40 40 40 40 40
138 1 | 32767 31759 32767 96 511 20 19 4 | 43 40 40 40 40 40 40 40 40
139 1 | 32767 32263 32767 48 255 20 20 4 | 43 40 40 40 40 40 40 40 40
140 1 | 32767 16131 32767 24 127 20 21 4 | 43 40 40 40 40 40 40 40 40
141 1 | 32767 8065 32767 12 63 20 22 4 | 43 40 40 40 40 40 40 40 40
142 1 | 32767 4032 32767 6 31 20 23 4 | 43 40 40 40 40 40 40 40 40
143 1 | 32767 2016 32767 3 15 20 24 4 | 43 40 40 40 40 40 40 40 40
144 1 | 32767 1008 32767 1 7 20 25 4 | 43 40 40 40 40 40 40 40 40
145 1 | 32767 504 32767 0 3 20 26 4 | 43 40 40 40 40 40 40 40 40
146 1 | 32767 16636 16383 0 1 19 27 4 | 43 40 40 40 40 40 40 40 40
147 1 | 32767 24702 28671 0 0 20 28 4 | 43 40 40 40 40 40 40 40 40
148 1 | 32767 28735 30719 0 0 20 29 4 | 43 40 40 40 40 40 40 40 40
149 1 | 32767 30751 31743 0 0 20 30 4 | 43 40 40 40 40 40 40 40 40
